MLDM,MLMC,XKDM,XKMC,ZYDM,ZYMC
12,管理学,1202,工商管理类,120207,审计学
12,管理学,1202,工商管理类,120208,资产评估
12,管理学,1202,工商管理类,120209,物业管理
12,管理学,1202,工商管理类,120210,文化产业管理
12,管理学,1202,工商管理类,120211,劳动关系
12,管理学,1202,工商管理类,120212,体育经济与管理
12,管理学,1202,工商管理类,120213,财务会计教育
12,管理学,1202,工商管理类,120214,市场营销教育
12,管理学,1203,农业经济管理类,120300,农业经济管理类
12,管理学,1203,农业经济管理类,120301,农林经济管理
12,管理学,1203,农业经济管理类,120302,农村区域发展
12,管理学,1204,公共管理类,120400,公共管理类
12,管理学,1204,公共管理类,120401,公共事业管理
12,管理学,1204,公共管理类,120402,行政管理
12,管理学,1204,公共管理类,120403,劳动与社会保障
12,管理学,1204,公共管理类,120404,土地资源管理
12,管理学,1204,公共管理类,120405,城市管理
12,管理学,1204,公共管理类,120406,海关管理
12,管理学,1204,公共管理类,120407,交通管理
12,管理学,1204,公共管理类,120408,海事管理
12,管理学,1204,公共管理类,120409,公共关系学
12,管理学,1204,公共管理类,120410,健康服务与管理
12,管理学,1205,图书情报与档案管理类,120500,图书情报与档案管理类
12,管理学,1205,图书情报与档案管理类,120501,图书馆学
12,管理学,1205,图书情报与档案管理类,120502,档案学
12,管理学,1205,图书情报与档案管理类,120503,信息资源管理
12,管理学,1206,物流管理与工程类,120600,物流管理与工程类
12,管理学,1206,物流管理与工程类,120601,物流管理
12,管理学,1206,物流管理与工程类,120602,物流工程
12,管理学,1206,物流管理与工程类,120603,采购管理
12,管理学,1207,工业工程类,120700,工业工程类
12,管理学,1207,工业工程类,120701,工业工程
12,管理学,1207,工业工程类,120702,标准化工程
12,管理学,1207,工业工程类,120703,质量管理工程
12,管理学,1208,电子商务类,120800,电子商务类
12,管理学,1208,电子商务类,120801,电子商务
12,管理学,1208,电子商务类,120802,电子商务及法律
12,管理学,1209,旅游管理类,120900,旅游管理类
12,管理学,1209,旅游管理类,120901,旅游管理
12,管理学,1209,旅游管理类,120902,酒店管理
12,管理学,1209,旅游管理类,120903,会展经济与管理
12,管理学,1209,旅游管理类,120904,旅游管理与服务教育
13,艺术学,1301,艺术学理论类,130100,艺术学理论类
13,艺术学,1301,艺术学理论类,130101,艺术史论
13,艺术学,1302,音乐与舞蹈学类,130200,音乐与舞蹈学类
13,艺术学,1302,音乐与舞蹈学类,130201,音乐表演
13,艺术学,1302,音乐与舞蹈学类,130202,音乐学
13,艺术学,1302,音乐与舞蹈学类,130203,作曲与作曲技术理论
13,艺术学,1302,音乐与舞蹈学类,130204,舞蹈表演
13,艺术学,1302,音乐与舞蹈学类,130205,舞蹈学
13,艺术学,1302,音乐与舞蹈学类,130206,舞蹈编导
13,艺术学,1303,戏剧与影视学类,130300,戏剧与影视学类
13,艺术学,1303,戏剧与影视学类,130301,表演
13,艺术学,1303,戏剧与影视学类,130302,戏剧学
13,艺术学,1303,戏剧与影视学类,130303,电影学
13,艺术学,1303,戏剧与影视学类,130304,戏剧影视文学
13,艺术学,1303,戏剧与影视学类,130305,广播电视编导
13,艺术学,1303,戏剧与影视学类,130306,戏剧影视导演
13,艺术学,1303,戏剧与影视学类,130307,戏剧影视美术设计
13,艺术学,1303,戏剧与影视学类,130308,录音艺术
13,艺术学,1303,戏剧与影视学类,130309,播音与主持艺术
13,艺术学,1303,戏剧与影视学类,130310,动画
13,艺术学,1303,戏剧与影视学类,130311,影视摄影与制作
13,艺术学,1304,美术学类,130400,美术学类
13,艺术学,1304,美术学类,130401,美术学
13,艺术学,1304,美术学类,130402,绘画
13,艺术学,1304,美术学类,130403,雕塑
13,艺术学,1304,美术学类,130404,摄影
13,艺术学,1304,美术学类,130405,书法学
13,艺术学,1304,美术学类,130406,中国画
13,艺术学,1304,美术学类,130407,实验艺术
13,艺术学,1304,美术学类,130408,跨媒体艺术
13,艺术学,1305,设计学类,130500,设计学类
13,艺术学,1305,设计学类,130501,艺术设计学
13,艺术学,1305,设计学类,130502,视觉传达设计
13,艺术学,1305,设计学类,130503,环境设计
13,艺术学,1305,设计学类,130504,产品设计
13,艺术学,1305,设计学类,130505,服装与服饰设计
13,艺术学,1305,设计学类,130506,公共艺术
13,艺术学,1305,设计学类,130507,工艺美术
13,艺术学,1305,设计学类,130508,数字媒体艺术
13,艺术学,1305,设计学类,130509,艺术与科技
13,艺术学,1305,设计学类,130510,陶瓷艺术设计
