SF,MC,DM,PY
内蒙古,乌兰中,WLZ,wulanzhong
内蒙古,乌奴耳,WNE,wunuer
内蒙古,卧牛河,WNH,woniuhe
内蒙古,乌日根塔拉,WRL,wurigentala
内蒙古,乌日图,WRT,wuritu
内蒙古,万水泉南,WSN,wanshuiquannan
内蒙古,万水泉,WSQ,wanshuiquan
内蒙古,乌斯台,WST,wusitai
内蒙古,乌斯土,WST,wusitu
内蒙古,五十家子,WSZ,wushijiazi
内蒙古,瓦窑坝,WYB,wayaoba
内蒙古,五原,WYU,wuyuan
内蒙古,新艾里,XAL,xinaili
内蒙古,兴安岭,XAL,xinganling
内蒙古,新安庄,XAZ,xinanzhuang
内蒙古,小北,XBE,xiaobei
内蒙古,新绰源,XCY,xinchuoyuan
内蒙古,西斗铺,XDP,xidoupu
内蒙古,兴和,XHE,xinghe
内蒙古,西胡尔清,XHQ,xihuerqing
内蒙古,兴和西,XHX,xinghexi
内蒙古,小河沿,XHY,xiaoheyan
内蒙古,新街,XJI,xinjie
内蒙古,西口,XKO,xikou
内蒙古,下坑子,XKZ,xiakengzi
内蒙古,西六方,XLF,xiliufang
内蒙古,锡林呼都嘎,XLG,xilinhudouga
内蒙古,西里,XLI,xili
内蒙古,西岭口,XLK,xilingkou
内蒙古,夏拉哈马,XLM,xialahama
内蒙古,锡林浩特,XLT,xilinhaote
内蒙古,新南沟,XNG,xinnangou
内蒙古,响沙湾,XSW,xiangshawan
内蒙古,西土城,XTC,xitucheng
内蒙古,新窝铺,XWP,xinwopu
内蒙古,新贤城,XXC,xinxiancheng
内蒙古,西小沟,XXG,xixiaogou
内蒙古,西小召,XXZ,xixiaozhao
内蒙古,星耀,XYA,xingyao
内蒙古,新帐房,XZF,xinzhangfang
内蒙古,汐子,XZI,xizi
内蒙古,西哲里木,XZM,xizhelimu
内蒙古,元宝山,YBS,yuanbaoshan
内蒙古,羊场,YCH,yangchang
内蒙古,云端,YDU,yunduan
内蒙古,伊尔施,YES,yiershi
内蒙古,莺歌,YGE,yingge
内蒙古,伊和恩格拉,YHL,yiheengela
内蒙古,于海屯,YHT,yuhaitun
内蒙古,杨家营,YJY,yangjiaying
内蒙古,牙克石,YKS,yakeshi
内蒙古,原林,YLI,yuanlin
内蒙古,余粮堡,YLP,yuliangbao
内蒙古,牙拉盖图,YLT,yalagaitu
内蒙古,雅鲁,YLU,yalu
内蒙古,衙门庙,YMM,yamenmiao
内蒙古,衙门营,YMY,yamenying
内蒙古,营盘湾,YPW,yingpanwan
内蒙古,岩山,YSH,yanshan
内蒙古,伊图里河,YTH,yitulihe
内蒙古,燕舞,YWU,yanwu
内蒙古,永王庄,YWZ,yongwangzhuang
内蒙古,育新,YXI,yuxin
内蒙古,友谊水库,YYK,youyishuiku
内蒙古,宇宙地,YZD,yuzhoudi
内蒙古,治安,ZAN,zhian
内蒙古,紫沟,ZGO,zigou
内蒙古,忠工屯,ZGT,zhonggongtun
内蒙古,扎罗木得,ZLD,zhaluomude
内蒙古,扎赉诺尔,ZLE,zhalainuoer
内蒙古,哲里木,ZLM,zhelimu
内蒙古,扎兰屯,ZLT,zhalantun
内蒙古,扎鲁特,ZLT,zhalute
内蒙古,转龙湾,ZLW,zhuanlongwan
内蒙古,扎赉诺尔西,ZLX,zhalainuoerxi
内蒙古,珠日河牧场,ZRC,zhurihemuchang
内蒙古,朱日和,ZRH,zhurihe
内蒙古,珠斯花,ZSH,zhusihua
内蒙古,准沙日乌苏,ZSS,zhunshariwusu
内蒙古,中台子,ZTZ,zhongtaizi
内蒙古,正镶白旗,ZXQ,zhengxiangbaiqi
内蒙古,卓资东,ZZD,zhuozidong
内蒙古,卓资山,ZZS,zhuozishan
辽宁,阿尔乡,AEX,aerxiang
辽宁,阿金,AJI,ajin
辽宁,安平,API,anping
辽宁,鞍山,ASH,anshan
辽宁,鞍山西,ASX,anshanxi
辽宁,北磴,BDE,beideng
辽宁,边沟,BGO,biangou
辽宁,渤海,BHA,bohai
辽宁,宝镜,BJI,baojing
辽宁,八角台,BJT,bajiaotai
辽宁,北井子,BJZ,beijingzi
辽宁,八面城,BMC,bamiancheng
辽宁,北票南,BPN,beipiaonan
辽宁,北台,BTA,beitai
辽宁,本溪新城,BXC,benxixincheng
辽宁,本溪湖,BXH,benxihu
辽宁,本溪,BXI,benxi
辽宁,鲅鱼圈,BYQ,bayuquan
辽宁,叉车厂,CCC,chachechang
辽宁,蚕厂屯,CCT,canchangtun
辽宁,长甸,CDI,zhangdian
辽宁,草河口,CHK,caohekou
辽宁,长虹,CHO,zhanghong
辽宁,长岭子,CLZ,zhanglingzi
辽宁,苍石,CSH,cangshi
辽宁,草市,CSH,caoshi
辽宁,长山堡,CSP,zhangshanbao
辽宁,昌图,CTU,changtu
辽宁,昌图西,CTX,changtuxi
辽宁,陈相屯,CXT,chenxiangtun
辽宁,朝阳,CYA,chaoyang
辽宁,城子坦东,CZD,chengzitandong
辽宁,串子沟,CZG,chuanzigou
辽宁,城子坦,CZT,chengzitan
辽宁,大巴,DBA,daba
辽宁,大成,DCH,dacheng
辽宁,东戴河,DDH,dongdaihe
辽宁,大甸,DDI,dadian
辽宁,丹东,DDO,dandong
辽宁,丹东西,DDX,dandongxi
辽宁,刀尔登,DED,daoerdeng
辽宁,东港北,DGB,donggangbei
辽宁,东沟门,DGM,donggoumen
辽宁,大孤山,DGS,dagushan
辽宁,大官屯,DGT,daguantun
辽宁,大荒地,DHD,dahuangdi
辽宁,大红旗,DHQ,dahongqi
辽宁,大虎山,DHS,dahushan
辽宁,东湖,DHU,donghu
辽宁,段家,DJI,duanjia
辽宁,道口,DKO,daokou
辽宁,大连北,DLB,dalianbei
辽宁,大连,DLI,dalian
辽宁,大刘家,DLJ,daliujia
辽宁,大平房,DPF,dapingfang
辽宁,大堡,DPU,dabao
辽宁,登沙河,DSH,dengshahe
辽宁,大石桥,DSQ,dashiqiao
辽宁,得胜台,DST,deshengtai
辽宁,灯塔,DTA,dengta
辽宁,大徐屯,DXT,daxutun
辽宁,东辛庄,DXZ,dongxinzhuang
辽宁,大雅河,DYH,dayahe
辽宁,大营子,DYZ,dayingzi
辽宁,东营子,DYZ,dongyingzi
辽宁,大郑,DZH,dazheng
辽宁,凤城东,FCD,fengchengdong
辽宁,凤凰城,FHC,fenghuangcheng
辽宁,抚顺北,FSB,fushunbei
辽宁,抚顺,FSH,fushun
辽宁,阜新,FXI,fuxin
辽宁,沟帮子,GBZ,goubangzi
辽宁,古城子,GCZ,guchengzi
辽宁,高尔山,GES,gaoershan
辽宁,官家,GJI,guanjia
辽宁,高家岁,GJS,gaojiasui
辽宁,郭家屯,GJT,guojiatun
辽宁,孤家子,GJZ,gujiazi
辽宁,高岭,GLI,gaoling
辽宁,广宁寺南,GNN,guangningsinan
辽宁,广宁寺,GNS,guangningsi
辽宁,高桥镇,GQZ,gaoqiaozhen
辽宁,灌水,GSH,guanshui
辽宁,广盛,GSH,guangsheng
辽宁,高山子,GSZ,gaoshanzi
辽宁,高台山,GTS,gaotaishan
辽宁,高阳镇,GYZ,gaoyangzhen
辽宁,公营子,GYZ,gongyingzi
辽宁,鸽子洞,GZD,gezidong
辽宁,盖州,GZH,gaizhou
辽宁,革镇堡,GZP,gezhenbao
辽宁,盖州西,GZX,gaizhouxi
辽宁,海城,HCH,haicheng
辽宁,海城西,HCX,haichengxi
辽宁,皇姑屯,HGT,huanggutun
辽宁,浑河,HHE,hunhe
辽宁,黄甲屯,HJT,huangjiatun
辽宁,葫芦岛北,HLB,huludaobei
辽宁,葫芦岛,HLD,huludao
辽宁,桓龙湖,HLH,huanlonghu
辽宁,寒岭,HLI,hanling
辽宁,火连寨,HLZ,huolianzhai
辽宁,蛤蟆塘,HMT,hamatang
辽宁,琥珀湖,HPH,hupohu
辽宁,红旗,HQI,hongqi
辽宁,红石,HSH,hongshi
辽宁,何三家,HSJ,hesanjia
辽宁,黑石木,HSM,heishimu
辽宁,虎石台,HST,hushitai
辽宁,河汤沟,HTG,hetanggou
辽宁,花园口,HYK,huayuankou
辽宁,侯杖子,HZZ,houzhangzi
辽宁,建北,JBE,jianbei
辽宁,建昌,JCH,jianchang
辽宁,金城,JCH,jincheng
辽宁,金场堡,JCP,jinchangbao
辽宁,鸡冠山,JGS,jiguanshan
辽宁,江家岭,JJL,jiangjialing
辽宁,金坑,JKE,jinkeng
辽宁,金山湾,JSW,jinshanwan
辽宁,夹心子,JXZ,jiaxinzi
辽宁,金州,JZH,jinzhou
辽宁,锦州,JZH,jinzhou
辽宁,锦州南,JZN,jinzhounan
辽宁,金杖子,JZZ,jinzhangzi
辽宁,宽甸,KDI,kuandian
辽宁,孔家沟,KJG,kongjiagou
辽宁,开原,KYU,kaiyuan
辽宁,开原西,KYX,kaiyuanxi
辽宁,老边,LBI,laobian
辽宁,兰店,LDI,landian
辽宁,雷锋路,LFL,leifenglu
辽宁,老古沟,LGG,laogugou
辽宁,凌海,LHA,linghai
辽宁,刘家村,LJC,liujiacun
辽宁,亮甲店,LJD,liangjiadian
辽宁,刘家河,LJH,liujiahe
辽宁,兰家,LJI,lanjia
辽宁,励家,LJI,lijia
辽宁,罗家,LJI,luojia
辽宁,兰家屯,LJT,lanjiatun
辽宁,李家屯,LJT,lijiatun
辽宁,林家台,LJT,linjiatai
辽宁,拉拉屯,LLT,lalatun
辽宁,连山关,LSG,lianshanguan
辽宁,灵山,LSH,lingshan
辽宁,旅顺,LSH,lvshun
辽宁,林盛堡,LSP,linshengbao
辽宁,柳树屯,LST,liushutun
辽宁,李石寨,LSZ,lishizhai
辽宁,刘屯,LTU,liutun
辽宁,辽阳,LYA,liaoyang
辽宁,凌源东,LYD,lingyuandong
辽宁,凌源,LYU,lingyuan
辽宁,龙爪沟,LZG,longzhaogou
辽宁,辽中,LZH,liaozhong
辽宁,民家,MJI,minjia
辽宁,马三家,MSJ,masanjia
辽宁,庙阳,MYA,miaoyang
辽宁,明阳,MYA,mingyang
辽宁,女儿河,NEH,nverhe
辽宁,南芬北,NFB,nanfenbei
辽宁,南芬,NFE,nanfen
辽宁,南关岭,NGL,nanguanling
辽宁,泥河子,NHZ,nihezi
辽宁,能家,NJI,nengjia
辽宁,牛角山,NJS,niujiaoshan
辽宁,南口前,NKQ,nankouqian
辽宁,南票,NPI,nanpiao
辽宁,南桥,NQI,nanqiao
辽宁,南台,NTA,nantai
辽宁,南汤,NTA,nantang
辽宁,南洼,NWA,nanwa
辽宁,牛心台,NXT,niuxintai
辽宁,牛庄,NZH,niuzhuang
辽宁,南杂木,NZM,nanzamu
辽宁,瓢儿屯,PET,piaoertun
辽宁,盘锦北,PJB,panjinbei
辽宁,盘锦,PJI,panjin
辽宁,皮口南,PKN,pikounan
辽宁,皮口,PKO,pikou
辽宁,普兰店,PLD,pulandian
辽宁,偏岭,PLI,pianling
辽宁,普湾,PWA,puwan
辽宁,泡子,PZI,paozi
辽宁,桥北,QBE,qiaobei
辽宁,青堆,QDU,qingdui
辽宁,青堆子,QDZ,qingduizi
辽宁,旗杆底,QGD,qigandi
辽宁,泉沟,QGO,quangou
辽宁,清河门,QHM,qinghemen
辽宁,曲家店,QJD,qujiadian
辽宁,祁家堡,QJP,qijiabao
辽宁,七里河,QLH,qilihe
辽宁,秋木庄,QMZ,qiumuzhuang
辽宁,清水河,QSH,qingshuihe
辽宁,泉水,QSH,quanshui
辽宁,泉水屯,QST,quanshuitun
辽宁,桥头,QTO,qiaotou
辽宁,前卫,QWE,qianwei
辽宁,前阳南,QYN,qianyangnan
辽宁,清原,QYU,qingyuan
辽宁,任家店,RJD,renjiadian
辽宁,绕阳河,RYH,raoyanghe
辽宁,苏北,SBE,subei
辽宁,世博园,SBY,shiboyuan
辽宁,石城,SCH,shicheng
辽宁,四道沟,SDG,sidaogou
辽宁,沙海,SHA,shahai
辽宁,沙河口,SHK,shahekou
辽宁,沙后所,SHS,shahousuo
辽宁,三江口,SJK,sanjiangkou
辽宁,苏家屯,SJT,sujiatun
辽宁,深井子,SJZ,shenjingzi
辽宁,十家子,SJZ,shijiazi
辽宁,四家子,SJZ,sijiazi
辽宁,石脑,SNA,shinao
辽宁,水泉,SQU,shuiquan
辽宁,石桥子,SQZ,shiqiaozi
辽宁,石山,SSH,shishan
辽宁,首山,SSH,shoushan
辽宁,松树,SSH,songshu
辽宁,三十家,SSJ,sanshijia
辽宁,三十里堡,SSP,sanshilibao
辽宁,松树台,SST,songshutai
辽宁,三台,STA,santai
辽宁,四台子,STZ,sitaizi
辽宁,沈阳,SYA,shenyang
辽宁,沈阳北,SYB,shenyangbei
辽宁,沈阳东,SYD,shenyangdong
辽宁,双羊店,SYD,shuangyangdian
辽宁,沈阳南,SYN,shenyangnan
辽宁,上园,SYU,shangyuan
辽宁,沈阳西,SYX,shenyangxi
辽宁,绥中北,SZB,suizhongbei
辽宁,绥中,SZH,suizhong
辽宁,台安,TAN,taian
辽宁,坦甸,TDI,tandian
辽宁,天德泉,TDQ,tiandequan
辽宁,铁佛寺,TFS,tiefosi
辽宁,汤河,THE,tanghe
辽宁,田家沟,TJG,tianjiagou
辽宁,唐家,TJI,tangjia
辽宁,佟家,TJI,tongjia
辽宁,台集屯,TJT,taijitun
辽宁,铁岭,TLI,tieling
辽宁,铁岭西,TLX,tielingxi
辽宁,天桥沟,TQG,tianqiaogou
辽宁,天桥,TQI,tianqiao
辽宁,汤山城,TSC,tangshancheng
辽宁,田师府,TSF,tianshifu
辽宁,塔山,TSH,tashan
辽宁,唐王山,TWS,tangwangshan
辽宁,同兴,TXI,tongxing
辽宁,通远堡,TYP,tongyuanbao
辽宁,桃园,TYU,taoyuan
辽宁,通远堡西,TYX,tongyuanbaoxi
辽宁,太子河,TZH,taizihe
辽宁,瓦房店,WFD,wafangdian
辽宁,瓦房店西,WFX,wafangdianxi
辽宁,网户,WHU,wanghu
辽宁,万家屯,WJT,wanjiatun
辽宁,吴家屯,WJT,wujiatun
辽宁,五龙背,WLB,wulongbei
辽宁,五龙背东,WLD,wulongbeidong
辽宁,威宁,WNI,weining
辽宁,五女山,WNS,wunvshan
辽宁,五七,WQI,wuqi
辽宁,温泉寺,WQS,wenquansi
辽宁,五三,WSA,wusan
辽宁,望山,WSH,wangshan
辽宁,歪头山,WTS,waitoushan
辽宁,魏杖子,WZZ,weizhangzi
辽宁,兴城,XCH,xingcheng
辽宁,新城子,XCZ,xinchengzi
辽宁,小东,XDO,xiaodong
辽宁,西丰,XFE,xifeng
辽宁,新寒岭,XHL,xinhanling
辽宁,宣家沟,XJG,xuanjiagou
辽宁,夏家河,XJH,xiajiahe
辽宁,薛家,XJI,xuejia
辽宁,下夹河所,XJS,xiajiahesuo
辽宁,许家屯,XJT,xujiatun
辽宁,新开,XKA,xinkai
辽宁,兴隆店,XLD,xinglongdian
辽宁,兴隆河,XLH,xinglonghe
辽宁,西柳,XLI,xiliu
辽宁,新岭,XLI,xinling
辽宁,新立屯,XLT,xinlitun
辽宁,新民,XMI,xinmin
辽宁,下马塘,XMT,xiamatang
辽宁,西南杖子,XNZ,xinanzhangzi
辽宁,小平房,XPF,xiaopingfang
辽宁,新邱,XQI,xinqiu
辽宁,小市,XSH,xiaoshi
辽宁,杏树屯,XST,xingshutun
辽宁,熊岳城,XYC,xiongyuecheng
辽宁,新园,XYU,xinyuan
辽宁,营北,YBE,yingbei
辽宁,叶柏寿,YBS,yebaishou
辽宁,营城子,YCZ,yingchengzi
辽宁,盐岛,YDA,yandao
辽宁,永甸,YDI,yongdian
辽宁,营东,YDO,yingdong
辽宁,英额门,YEM,yingemen
辽宁,雅河,YHE,yahe
辽宁,么荒,YHU,mehuang
辽宁,杨家店,YJD,yangjiadian
辽宁,袁家堡,YJP,yuanjiabao
辽宁,羊圈子,YJZ,yangquanzi
辽宁,营口东,YKD,yingkoudong
辽宁,营口,YKO,yingkou
辽宁,一面山,YMS,yimianshan
辽宁,姚千户屯,YQT,yaoqianhutun
辽宁,榆树台,YST,yushutai
辽宁,杨树湾,YSW,yangshuwan
辽宁,义县,YXI,yixian
辽宁,杨杖子,YZZ,yangzhangzi
辽宁,章党,ZDA,zhangdang
辽宁,章古台,ZGT,zhanggutai
辽宁,庄河北,ZHB,zhuanghebei
辽宁,庄河,ZHE,zhuanghe
辽宁,中华寺,ZHS,zhonghuasi
辽宁,庄河西,ZHX,zhuanghexi
辽宁,赵家,ZJI,zhaojia
辽宁,张家堡,ZJP,zhangjiabao
辽宁,周家屯,ZJT,zhoujiatun
辽宁,周水子,ZSZ,zhoushuizi
辽宁,张台子,ZTZ,zhangtaizi
辽宁,彰武,ZWU,zhangwu
辽宁,中兴,ZXI,zhongxing
辽宁,中小所,ZXS,zhongxiaosuo
辽宁,钟杖子,ZZZ,zhongzhangzi
吉林,安广,AGU,anguang
吉林,安图,ATU,antu
吉林,安图西,ATX,antuxi
吉林,白城,BCH,baicheng
吉林,北岗,BGA,beigang
吉林,布海,BHA,buhai
吉林,白河,BHE,baihe
吉林,八家子,BJZ,bajiazi
吉林,白泉,BQU,baiquan
吉林,白市,BSH,baishi
吉林,板石河,BSH,banshihe
吉林,宝山,BSH,baoshan
吉林,白山市,BSS,baishanshi
吉林,白石山,BSS,baishishan
吉林,堡石图,BST,baoshitu
吉林,葆园,BYU,baoyuan
吉林,板杖子,BZZ,banzhangzi
吉林,长春东,CCD,zhangchundong
吉林,长春,CCH,zhangchun
吉林,长春南,CCN,zhangchunnan
吉林,长春西,CCX,zhangchunxi
吉林,长发,CFA,zhangfa
吉林,柴岗,CGA,chaigang
吉林,蔡家沟,CJG,caijiagou
吉林,崔家营子,CJZ,cuijiayingzi
吉林,采石场,CSC,caishichang
吉林,长山屯,CST,zhangshantun
吉林,茶条沟,CTG,chatiaogou
吉林,春阳,CYA,chunyang
吉林,朝阳川,CYC,chaoyangchuan
吉林,朝阳镇,CYZ,chaoyangzhen
吉林,大安北,DAB,daanbei
吉林,大安,DAN,daan
吉林,到保,DBA,daobao
吉林,大东,DDO,dadong
吉林,东丰北,DFB,dongfengbei
吉林,东丰,DFE,dongfeng
吉林,东富,DFU,dongfu
吉林,德惠,DHU,dehui
吉林,敦化,DHU,dunhua
吉林,德惠西,DHX,dehuixi
吉林,达家沟,DJG,dajiagou
吉林,丁家园,DJY,dingjiayuan
吉林,大口钦,DKQ,dakouqin
吉林,大梨树,DLS,dalishu
吉林,大栗子,DLZ,dalizi
吉林,大桥,DQI,daqiao
吉林,道清,DQI,daoqing
吉林,氡泉,DQU,dongquan
吉林,大泉眼,DQY,daquanyan
吉林,大石头南,DSN,dashitounan
吉林,大石头,DST,dashitou
吉林,东通化,DTH,dongtonghua
吉林,大土山,DTS,datushan
吉林,大屯,DTU,datun
吉林,大兴沟,DXG,daxinggou
吉林,大仙,DXI,daxian
吉林,大兴镇,DXZ,daxingzhen
吉林,二岔,ECH,ercha
吉林,二道河,EDH,erdaohe
吉林,二龙山,ELS,erlongshan
吉林,二密河,EMH,ermihe
吉林,丰广,FGU,fengguang
吉林,范家屯,FJT,fanjiatun
吉林,丰库,FKU,fengku
吉林,抚松,FSO,fusong
吉林,扶余北,FYB,fuyubei
吉林,枫叶岭,FYL,fengyeling
吉林,扶余,FYU,fuyu
吉林,孤店子,GDZ,gudianzi
吉林,干沟,GGO,gangou
吉林,光辉,GHU,guanghui
吉林,郭家店,GJD,guojiadian
吉林,工农湖,GNH,gongnonghu
吉林,弓棚子,GPZ,gongpengzi
吉林,果松,GSO,guosong
吉林,菇园,GYU,guyuan
吉林,官字井,GZJ,guanzijing
吉林,公主岭,GZL,gongzhuling
吉林,公主岭南,GZN,gongzhulingnan
吉林,黄柏,HBA,huangbai
吉林,珲春,HCH,huichun
吉林,哈尔巴岭,HEL,haerbaling
吉林,哈福,HFU,hafu
吉林,荒沟西,HGX,huanggouxi
吉林,胡家店,HJD,hujiadian
吉林,火炬沟,HJG,huojugou
吉林,华家,HJI,huajia
吉林,哈拉海,HLH,halahai
吉林,海龙,HLO,hailong
吉林,和龙,HLO,helong
吉林,哈玛,HMA,hama
吉林,河南,HNA,henan
吉林,辉南,HNA,huinan
吉林,黄泥河,HNH,huangnihe
吉林,黄泥崴子,HNZ,huangniwaizi
吉林,桦皮厂,HPC,huapichang
吉林,黄松甸,HSD,huangsongdian
吉林,黑水,HSH,heishui
吉林,花山,HSH,huashan
吉林,黑山头,HST,heishantou
吉林,海坨子,HTZ,haituozi
吉林,集安,JAN,jian
吉林,巨宝,JBA,jubao
吉林,蛟河,JHE,jiaohe
吉林,蛟河西,JHX,jiaohexi
吉林,纪家,JJI,jijia
吉林,吉林,JLI,jilin
吉林,江密峰,JMF,jiangmifeng
吉林,吉舒,JSH,jishu
吉林,建设,JSH,jianshe
吉林,金山,JSH,jinshan
吉林,九台,JTA,jiutai
吉林,九台南,JTN,jiutainan
吉林,江源,JYU,jiangyuan
吉林,靖宇,JYU,jingyu
吉林,金珠,JZH,jinzhu
吉林,开安,KAN,kaian
吉林,卡伦,KLU,kalun
吉林,口前,KQI,kouqian
吉林,开通,KTO,kaitong
吉林,亮兵台,LBT,liangbingtai
吉林,六道河,LDH,liudaohe
吉林,拉法,LFA,lafa
吉林,来福,LFU,laifu
吉林,柳河,LHE,liuhe
吉林,刘家店,LJD,liujiadian
吉林,两家,LJI,liangjia
吉林,临江,LJI,linjiang
吉林,六家,LJI,liujia
吉林,龙嘉,LJI,longjia
吉林,龙井,LJI,longjing
吉林,龙家堡,LJP,longjiabao
吉林,老岭,LLI,laoling
吉林,柳毛沟,LMG,liumaogou
吉林,龙泉,LQU,longquan
吉林,龙山,LSH,longshan
吉林,露水河,LSH,lushuihe
吉林,老松岭,LSL,laosongling
吉林,老营,LYI,laoying
吉林,老爷岭,LYL,laoyeling
吉林,乐园,LYU,leyuan
吉林,辽源,LYU,liaoyuan
吉林,砬子河,LZH,lazihe
吉林,林子头,LZT,linzitou
吉林,明城,MCH,mingcheng
吉林,梅河口,MHK,meihekou
吉林,满汉营,MHY,manhanying
吉林,茂林,MLI,maolin
吉林,庙岭,MLI,miaoling
吉林,磨盘山,MPS,mopanshan
吉林,米沙子,MSZ,mishazi
吉林,农安,NAN,nongan
吉林,南沟,NGO,nangou
吉林,南洮南,NTN,nantaonan
吉林,奈字井,NZJ,naizijing
吉林,平安,PAN,pingan
吉林,平安镇,PAZ,pinganzhen
吉林,平川,PCH,pingchuan
吉林,平岗,PGA,pinggang
吉林,磐石,PSH,panshi
吉林,平台,PTA,pingtai
吉林,乾安,QAN,qianan
吉林,庆丰,QFE,qingfeng
吉林,青沟子,QGZ,qinggouzi
吉林,七间房,QJF,qijianfang
吉林,七家子,QJZ,qijiazi
吉林,秋梨沟,QLG,qiuligou
吉林,棋盘,QPA,qipan
吉林,前窑,QYA,qianyao
吉林,泉阳,QYA,quanyang
吉林,双安屯,SAT,shuangantun
吉林,三宝屯,SBT,sanbaotun
吉林,山场屯,SCT,shanchangtun
吉林,山城镇,SCZ,shanchengzhen
吉林,三道湖,SDH,sandaohu
吉林,水洞,SDO,shuidong
吉林,三队,SDU,sandui
吉林,四合屯,SHT,sihetun
吉林,石湖,SHU,shihu
吉林,双河镇,SHZ,shuanghezhen
吉林,松江河,SJH,songjianghe
吉林,石家,SJI,shijia
吉林,双吉,SJI,shuangji
吉林,三井子,SJZ,sanjingzi
吉林,松江镇,SJZ,songjiangzhen
吉林,舒兰,SLA,shulan
吉林,胜利,SLI,shengli
吉林,石岭,SLI,shiling
吉林,双辽,SLI,shuangliao
吉林,水礼,SLI,shuili
吉林,松岭,SLI,songling
吉林,十里坪,SLP,shiliping
吉林,四平东,SPD,sipingdong
吉林,四平,SPI,siping
吉林,石人,SRE,shiren
吉林,杉松岗,SSG,shansonggang
吉林,松树镇,SSZ,songshuzhen
吉林,石头河,STH,shitouhe
吉林,石岘,SXI,shixian
吉林,松原北,SYB,songyuanbei
吉林,三源浦,SYP,sanyuanpu
吉林,松原,SYU,songyuan
吉林,铁厂,TCH,tiechang
吉林,铜佛寺,TFS,tongfosi
吉林,天岗,TGA,tiangang
吉林,通沟,TGO,tonggou
吉林,塔虎城,THC,tahucheng
吉林,通化,THU,tonghua
吉林,通化县,THX,tonghuaxian
吉林,佟家店,TJD,tongjiadian
吉林,陶家屯,TJT,taojiatun
吉林,团林,TLI,tuanlin
吉林,陶赖昭,TLZ,taolaizhao
吉林,图们北,TMB,tumenbei
吉林,图们,TME,tumen
吉林,土们岭,TML,tumenling
吉林,洮南,TNA,taonan
吉林,太平川,TPC,taipingchuan
吉林,太平岭,TPL,taipingling
吉林,天桥岭,TQL,tianqiaoling
吉林,团山,TSH,tuanshan
吉林,坦途,TTU,tantu
吉林,通途,TTU,tongtu
吉林,驼腰岭,TYL,tuoyaoling
吉林,五道沟,WDG,wudaogou
吉林,王府,WFU,wangfu
吉林,湾沟,WGO,wangou
吉林,威虎岭北,WHB,weihulingbei
吉林,卧虎屯,WHT,wohutun
吉林,五家户,WJH,wujiahu
吉林,渭津,WJI,weijin
吉林,五棵树,WKS,wukeshu
吉林,万隆,WLO,wanlong
吉林,沃皮,WPI,wopi
吉林,汪清,WQI,wangqing
吉林,苇子沟,WZG,weizigou
吉林,溪洞,XDO,xidong
吉林,小姑家,XGJ,xiaogujia
吉林,小合隆,XHL,xiaohelong
吉林,谢家,XJI,xiejia
吉林,谢家镇,XJZ,xiejiazhen
吉林,兴隆山,XLS,xinglongshan
吉林,新立镇,XLZ,xinlizhen
吉林,仙人桥,XRQ,xianrenqiao
吉林,小山,XSH,xiaoshan
吉林,西阳岔,XYC,xiyangcha
吉林,影壁山,YBS,yingbishan
吉林,阳岔,YCH,yangcha
吉林,营城,YCH,yingcheng
吉林,亚复,YFU,yafu
吉林,杨家粉坊,YJF,yangjiafenfang
吉林,延吉,YJI,yanji
吉林,姚家,YJI,yaojia
吉林,一间堡,YJP,yijianbao
吉林,延吉西,YJX,yanjixi
吉林,姚家坨子,YJZ,yaojiatuozi
吉林,遥林,YLI,yaolin
吉林,永宁,YNI,yongning
吉林,榆树川,YSC,yushuchuan
吉林,阳山,YSH,yangshan
吉林,榆树,YSH,yushu
吉林,烟筒山,YTS,yantongshan
吉林,鸭园,YYU,yayuan
吉林,犹字井,YZJ,youzijing
吉林,中德,ZDE,zhongde
吉林,赵家沟,ZJG,zhaojiagou
吉林,左家,ZJI,zuojia
吉林,郑家堡,ZJP,zhengjiabao
吉林,镇赉,ZLA,zhenlai
吉林,朱三家,ZSJ,zhusanjia
吉林,枕头峰,ZTF,zhentoufeng
吉林,镇西,ZXI,zhenxi
吉林,咋子,ZZI,zazi
黑龙江,昂昂溪,AAX,angangxi
黑龙江,阿城,ACH,acheng
黑龙江,安达,ADA,anda
黑龙江,爱河,AHE,aihe
黑龙江,安家,AJI,anjia
黑龙江,阿木尔,AME,amuer
黑龙江,敖头,ATO,aotou
黑龙江,北安,BAN,beian
黑龙江,八村,BCU,bacun
黑龙江,八方,BFA,bafang
黑龙江,八虎力,BHL,bahuli
黑龙江,白桦排,BHP,baihuapai
黑龙江,半截河,BJH,banjiehe
黑龙江,滨江,BJI,binjiang
黑龙江,笔架山,BJS,bijiashan
黑龙江,白奎堡,BKP,baikuibao
黑龙江,宝林,BLI,baolin
黑龙江,北林,BLI,beilin
黑龙江,勃利,BLI,boli
黑龙江,八面通,BMT,bamiantong
黑龙江,宝清,BQI,baoqing
黑龙江,宝泉岭,BQL,baoquanling
黑龙江,碧水,BSH,bishui
黑龙江,白山乡,BSX,baishanxiang
黑龙江,背荫河,BYH,beiyinhe
黑龙江,碧州,BZH,bizhou
黑龙江,查班河,CBH,chabanhe
黑龙江,翠峰,CFE,cuifeng
黑龙江,长发屯,CFT,zhangfatun
黑龙江,翠岗,CGA,cuigang
黑龙江,成高子,CGZ,chenggaozi
